Model,ROC_AUC,PR_AUC,Precision,Recall,F1_Score,Training_Time_s
XGBoost,0.7833228503858888,0.3355673995911575,0.0901230250818577,0.6859424147108638,0.1593144141612812,16.29
LightGBM,0.7804848546733589,0.327221799299652,0.0933669299918278,0.663440600048391,0.1636966060714605,6.426272630691528
Random Forest,0.7773136287109031,0.3171783072153534,0.0837476873265495,0.7009436244858457,0.1496191091026468,22.63
Logistic Regression,0.7532911149550531,0.2413288631648396,0.0908035647420055,0.586740866198887,0.1572683939167936,28.36
